,division,district_code,taluka_code,village_code,village
126,amravati,7,4,270700040070160000,महम्मदपुर
127,amravati,7,4,270700040069730000,मुकिंदपुर
128,amravati,7,4,270700040068740000,मुरादपुर
129,amravati,7,4,270700040069250000,मेघनाथ पुर
130,amravati,7,4,270700040068460000,म्हसोना
131,amravati,7,4,270700040068600000,येणी
132,amravati,7,4,270700040069990000,येलकी
133,amravati,7,4,270700040069800000,येवता
134,amravati,7,4,270700040069970000,येसूर्णा
135,amravati,7,4,270700040069330000,रज्जाकपुर
136,amravati,7,4,270700040070150000,रत्नापुर
137,amravati,7,4,270700040069780000,रवळगाव
138,amravati,7,4,270700040068980000,रहीमापुर
139,amravati,7,4,270700040068680000,राजुरा
140,amravati,7,4,270700040070120000,रामगांव
141,amravati,7,4,270700040069530000,रामापुर खुर्द
142,amravati,7,4,270700040070110000,रामापुर जांभळा
143,amravati,7,4,270700040069520000,रामापुर बु.
144,amravati,7,4,270700040069060000,रामापुर बेलज
145,amravati,7,4,270700040070140000,रायणी
146,amravati,7,4,270700040069360000,रायपुर
147,amravati,7,4,270700040069940000,रायपुर जहागीर
148,amravati,7,4,270700040070130000,रायपुर (वा.)
149,amravati,7,4,270700040068960000,रायपुरा
150,amravati,7,4,270700040069710000,रासेगाव
151,amravati,7,4,270700040069950000,रंगारवासणी
152,amravati,7,4,270700040068410000,वझ्झर
153,amravati,7,4,270700040069960000,वडगांव खुर्द
154,amravati,7,4,270700040068760000,वडगांव फत्तेपुर
155,amravati,7,4,270700040069690000,वडनेर भुजंग
156,amravati,7,4,270700040068650000,वडुरा
157,amravati,7,4,270700040070080000,वलणी खु.
158,amravati,7,4,270700040069500000,वलणी बु.
159,amravati,7,4,270700040069380000,वागडोह
160,amravati,7,4,270700040069770000,वाढोणा जहागीर
161,amravati,7,4,270700040069420000,वाल्मिकपुर
162,amravati,7,4,270700040069750000,वासनि बु.
163,amravati,7,4,270700040069760000,वासनी खु.
164,amravati,7,4,270700040068690000,विठठलपुर
165,amravati,7,4,270700040070070000,विरखेड
166,amravati,7,4,270700040070060000,विरपुर
167,amravati,7,4,270700040070050000,शहापुर (इनामगांव)
168,amravati,7,4,270700040068800000,शहापुर न. वडगाव
169,amravati,7,4,270700040069830000,शामपुर
170,amravati,7,4,270700040069620000,शिंदी बु.
171,amravati,7,4,270700040069040000,शेकापुर
172,amravati,7,4,270700040069790000,शंकरपुर
173,amravati,7,4,270700040070270000,सलाबतपुर
174,amravati,7,4,270700040068490000,सालेपुर
175,amravati,7,4,270700040068850000,सालेबाद
176,amravati,7,4,270700040069860000,सावली खु
177,amravati,7,4,270700040069850000,सावली बु
178,amravati,7,4,270700040070010000,सावळापुर
179,amravati,7,4,270700040068620000,सावळी न. दातुरा
180,amravati,7,4,270700040069880000,सांगवी न. खैरी
181,amravati,7,4,270700040070400000,सांगवी न. निजामपूर
182,amravati,7,4,270700040069150000,सुरवाडा
183,amravati,7,4,270700040068550000,हनवतखेडा
184,amravati,7,4,270700040068820000,हरम
185,amravati,7,4,270700040069890000,हिवरा
